id,x,y,d,t,s,r,o,h,k,j,m,b,v,f,p,c
83654,41.30721,-72.898268,14427072,12:37,A,4.0,240 EXCHANGE ST,BLATCHLEY AV,['Pedestrian'],W,0,25.0,False,False,1,0
83654,41.30721,-72.898268,14427072,12:37,A,4.0,240 EXCHANGE ST,BLATCHLEY AV,['Pedestrian'],,0,25.0,False,False,1,0
83654,41.30721,-72.898268,14427072,12:37,A,4.0,240 EXCHANGE ST,BLATCHLEY AV,['Pedestrian'],W,0,25.0,False,False,1,0
83654,41.30721,-72.898268,14427072,12:37,A,4.0,240 EXCHANGE ST,BLATCHLEY AV,['Pedestrian'],W,0,25.0,True,False,1,0
83677,41.318495,-72.949288,14434848,07:02,A,3.0,ELLA T GRASSO BLVD,,['Bicyclist'],N,0,25.0,False,False,0,1
83677,41.318495,-72.949288,14434848,07:02,A,3.0,ELLA T GRASSO BLVD,,['Bicyclist'],S,0,25.0,False,False,0,1
84637,41.314146,-72.939877,14435712,16:38,A,4.0,ORCHARD ST,ELM ST NO 1,['Pedestrian'],N,0,25.0,False,False,1,0
91523,41.318682,-72.897581,14458176,11:41,A,4.0,MIDDLETOWN AVENUE,FERRY ST,['Bicyclist'],S,0,25.0,False,False,0,1
91523,41.318682,-72.897581,14458176,11:41,A,4.0,MIDDLETOWN AVENUE,FERRY ST,['Bicyclist'],E,0,25.0,False,False,0,1
95696,41.324283,-72.838577,14468544,16:53,K,3.0,Foxon Road,RTE 100(NORTH HIGH ST),"['Other Pedestrian (wheelchair, person in a building, skater, pedestrian conveyance)']",E,99,45.0,False,False,0,0
103005,41.260171,-72.946237,14468544,01:49,A,4.0,CAMPBELL AVE,,['Pedestrian'],W,0,1.0,True,False,1,0
106078,41.317153,-72.915454,14488416,18:13,A,4.0,ORANGE ST,BISHOP ST,['Bicyclist'],E,0,25.0,False,True,0,1
106078,41.317153,-72.915454,14488416,18:13,A,4.0,ORANGE ST,BISHOP ST,['Bicyclist'],N,0,25.0,False,True,0,1
109049,41.26941587,-72.87511855,14484096,13:21,A,4.0,DODGE AVE,PROSPECT PL EXT,['Pedestrian'],E,0,25.0,False,False,1,0
110272,41.316711,-72.872599,14487552,22:56,A,4.0,321 EASTERN ST,,['Pedestrian'],S,0,,False,False,1,0
111771,41.269072,-72.872132,14491872,13:21,A,3.0,HEMINGWAY AVE,,['Pedestrian'],S,0,35.0,,,1,0
111771,41.269072,-72.872132,14491872,13:21,A,3.0,HEMINGWAY AVE,,['Pedestrian'],N,0,35.0,,False,1,0
113052,41.269241,-72.872021,14482368,03:26,A,3.0,Hemingway Avenue,,['Pedestrian'],S,0,35.0,False,False,1,0
115624,41.31588,-72.948812,14509152,23:19,A,4.0,MAPLE STREET,ELLSWORTH AV,['Pedestrian'],S,97,25.0,False,False,1,0
121365,41.316642,-72.942379,14518656,00:30,A,4.0,WHALLEY AVE,SHERMAN AV,['Bicyclist'],S,0,25.0,False,True,0,1
121365,41.316642,-72.942379,14518656,00:30,A,4.0,WHALLEY AVE,SHERMAN AV,['Bicyclist'],W,0,25.0,False,True,0,1
121376,41.320219,-72.871879,14520384,22:29,A,3.0,FOXON BLVD,EASTERN ST,['Pedestrian'],W,0,25.0,False,False,1,0
132539,41.286159,-72.957932,14544576,06:36,A,4.0,Campbell Ave,ALLING ST,['Pedestrian'],N,0,25.0,False,False,1,0
134763,41.321247,-72.945975,14554944,20:49,A,4.0,ELLSWORTH AVENUE,,['Pedestrian'],N,0,25.0,False,False,1,0
136234,41.327198,-72.935114,14559264,19:22,A,4.0,DIXWELL AVE,DIVISION ST,['Pedestrian'],N,0,25.0,False,False,1,0
136244,41.33229,-72.974689,14560992,18:37,A,3.0,WHALLEY AVENUE,,['Pedestrian'],W,0,25.0,False,False,1,0
138465,41.31429,-72.928653,14566176,16:12,A,4.0,ASHMUN ST,YORK SQ,['Pedestrian'],N,0,25.0,False,False,1,0
138909,41.316652,-72.942382,14567040,19:31,A,4.0,SHERMAN AVE,WHALLEY AV,['Pedestrian'],N,0,25.0,True,False,1,0
139158,41.310867,-72.920186,14562720,07:53,A,4.0,AUDUBON ST,ORANGE ST NO 1,['Pedestrian'],S,0,25.0,False,False,1,0
143221,41.361814,-72.924259,14539392,13:57,A,3.0,DIXWELL AVENUE,ROBERT ST,['Pedestrian'],S,0,35.0,True,False,1,0
144058,41.303494,-72.931304,14573952,12:05,A,4.0,270 S FRONTAGE RD,COLLEGE ST,['Pedestrian'],E,0,25.0,False,False,1,0
144058,41.303494,-72.931304,14573952,12:05,A,4.0,270 S FRONTAGE RD,COLLEGE ST,['Pedestrian'],E,0,25.0,False,False,1,0
145412,41.277317,-72.861189,14245632,04:04,K,2.0,Saltonstall PKWY,RTE 100(NB)(MAIN ST),['Pedestrian'],E,99,40.0,False,False,1,0
145426,41.260607,-72.85598,14457312,21:32,A,3.0,SHORT BEACH RD,,['Pedestrian'],W,99,25.0,True,False,1,0
148384,41.330826,-72.972713,14578272,21:52,A,3.0,1290 WHALLEY AVE/DAVIS ST,DAVIS ST(ONE-WAY NB),['Pedestrian'],W,99,25.0,True,False,1,0
148445,41.308644,-72.899415,14589504,18:06,A,4.0,GRAND AVE,BLATCHLEY AV,['Pedestrian'],S,0,25.0,False,False,1,0
150141,41.307463,-72.926335,14592096,17:17,A,4.0,240 TEMPLE ST,,['Bicyclist'],S,0,,False,False,0,1
150141,41.307463,-72.926335,14592096,17:17,A,4.0,240 TEMPLE ST,,['Bicyclist'],E,0,,False,True,0,1
158175,41.320667,-72.873338,14609376,16:25,A,3.0,FOXON BLVD,,['Pedestrian'],W,0,25.0,False,False,1,0
162127,41.304386,-72.928792,14622336,17:12,A,4.0,GEORGE STREET,TEMPLE ST,['Bicyclist'],E,0,25.0,False,False,0,1
162127,41.304386,-72.928792,14622336,17:12,A,4.0,GEORGE STREET,TEMPLE ST,['Bicyclist'],E,0,35.0,,,0,1
164351,41.302472,-72.92792,14625792,21:50,A,4.0,N FRONTAGE RD,unknown,['Pedestrian'],W,0,,False,False,1,0
165010,41.306577,-72.926991,14633568,16:31,A,4.0,TEMPLE ST,CHAPEL ST,['Pedestrian'],S,0,,False,False,1,0
166457,41.310982,-72.873367,14632704,03:26,A,,BOUCHET LN,,['Pedestrian'],W,0,,False,False,1,0
166457,41.310982,-72.873367,14632704,03:26,A,,BOUCHET LN,,['Pedestrian'],,0,,False,False,1,0
167330,41.300738,-72.940903,14636160,23:30,K,4.0,KOSSUTH ST,ANN ST,['Pedestrian'],S,99,25.0,True,False,1,0
168079,41.304775,-72.922716,14639616,20:34,A,4.0,CHAPEL STREET,STATE ST,['Bicyclist'],W,0,25.0,False,True,0,1
168079,41.304775,-72.922716,14639616,20:34,A,4.0,CHAPEL STREET,STATE ST,['Bicyclist'],E,0,25.0,False,True,0,1
168844,41.304767,-72.922657,14640480,21:03,A,4.0,STATE ST,CHAPEL ST,['Bicyclist'],E,0,,False,False,0,1
168844,41.304767,-72.922657,14640480,21:03,A,4.0,STATE ST,CHAPEL ST,['Bicyclist'],N,0,,False,False,0,1
170382,41.251468,-72.987781,14647392,20:04,A,4.0,Perry Merrill Drive,,['Pedestrian'],W,97,25.0,False,False,1,0
173212,41.287454,-72.973525,14649984,00:14,A,2.0,BOSTON POST ROAD RD,ARDALE ST,['Pedestrian'],E,88,35.0,,,1,0
173846,41.303774,-72.902371,14649984,19:42,A,4.0,JAMES ST,CHAPEL ST,['Pedestrian'],N,0,25.0,True,False,1,0
174171,41.303466,-72.902483,14656896,16:09,A,4.0,JAMES ST,,['Pedestrian'],S,0,,True,False,1,0
176778,41.300943,-72.892293,14659488,14:38,A,4.0,E. FERRY STREET,FAIRMONT AV,['Bicyclist'],E,0,,False,False,0,1
176778,41.300943,-72.892293,14659488,14:38,A,4.0,E. FERRY STREET,FAIRMONT AV,['Bicyclist'],N,0,,False,False,0,1
182753,41.308925,-72.896593,14573088,00:06,K,4.0,GRAND AVE,,['Pedestrian'],W,0,25.0,True,,1,0
191551,41.302161,-72.936202,14700096,10:00,A,4.0,800 HOWARD AVE,,['Pedestrian'],N,0,25.0,False,False,1,0
192642,41.316314,-72.895615,14691456,20:16,A,4.0,PECK ST,ROWE ST,['Bicyclist'],E,0,,False,False,0,1
192642,41.316314,-72.895615,14691456,20:16,A,4.0,PECK ST,ROWE ST,['Bicyclist'],N,0,,False,False,0,1
198090,41.338468,-72.973363,14714784,18:35,A,4.0,VALLEY ST,HARPER AV,['Pedestrian'],E,0,25.0,False,False,1,0
199055,41.31191,-72.947017,14719968,14:49,A,4.0,WINTHROP AVE,CHAPEL ST,['Pedestrian'],N,0,25.0,False,False,1,0
201153,41.304266,-72.930917,14719104,12:41,A,4.0,NORTH FRONTAGE RD,COLLEGE ST,['Pedestrian'],N,0,25.0,False,False,1,0
202704,41.290809,-72.920881,14708736,19:30,A,4.0,LONG WHARF DR,,['Pedestrian'],N,0,25.0,False,False,1,0
204466,41.311655,-72.931,14734656,20:15,A,4.0,59 BROADWAY,,['Pedestrian'],W,0,,False,False,1,0
208572,41.329325,-72.926291,14745888,22:25,A,4.0,WINCHESTER AVE,HIGHLAND ST,['Bicyclist'],S,0,25.0,True,False,0,1
208572,41.329325,-72.926291,14745888,22:25,A,4.0,WINCHESTER AVE,HIGHLAND ST,['Bicyclist'],N,0,25.0,False,False,0,1
216398,41.281499,-72.874699,14726016,16:15,K,4.0,FORBES PL,,['Bicyclist'],N,0,1.0,False,False,0,1
216398,41.281499,-72.874699,14726016,16:15,K,4.0,FORBES PL,,['Bicyclist'],N,0,25.0,False,False,0,1
218210,41.275184,-72.868722,14756256,14:46,A,3.0,HEMINGWAY AVE,RIVER ST(DE),['Pedestrian'],N,0,35.0,False,False,1,0
221154,41.326011,-72.959753,14770080,11:07,A,3.0,24 FOUNTAIN ST,,['Bicyclist'],W,0,25.0,False,True,0,1
221154,41.326011,-72.959753,14770080,11:07,A,3.0,24 FOUNTAIN ST,,['Bicyclist'],W,0,25.0,False,True,0,1
223871,41.312238,-72.91936,14776128,14:14,A,4.0,TRUMBULL ST,,['Pedestrian'],W,0,25.0,False,False,1,0
223871,41.312238,-72.91936,14776128,14:14,A,4.0,TRUMBULL ST,,['Pedestrian'],,0,25.0,False,False,1,0
224568,41.330459,-72.971948,14777856,19:55,A,3.0,WHALLEY AVE,WEST PROSPECT ST,['Pedestrian'],E,0,25.0,False,False,1,0
225240,41.293019,-72.943868,14776128,21:54,K,3.0,ELLA T GRASSO BLVD,,['Pedestrian'],S,0,35.0,False,False,1,0
226073,41.314989,-72.939472,14780448,14:20,A,4.0,490 ORCHARD ST,,['Pedestrian'],S,0,25.0,False,False,1,0
228889,41.342439,-72.957741,14773536,06:54,A,4.0,WILMONT RD,BROOKSIDE AV,['Pedestrian'],S,0,25.0,False,False,1,0
228905,41.314793,-72.891703,14778720,18:41,A,4.0,CLINTON AVE,CHATHAM ST,['Driver'],S,0,25.0,False,True,0,0
228905,41.314793,-72.891703,14778720,18:41,A,4.0,CLINTON AVE,CHATHAM ST,['Driver'],E,99,25.0,False,True,0,0
230104,41.310804,-72.930116,14791680,09:51,A,4.0,ELM ST,,['Pedestrian'],W,0,25.0,False,False,1,0
230472,41.306935,-72.924406,14792544,09:38,A,4.0,157 CHURCH ST,,['Pedestrian'],N,0,,False,False,1,0
230850,41.304105,-72.925084,14793408,17:00,A,4.0,ORANGE AVE,CROWN ST,['Pedestrian'],E,0,25.0,False,False,1,0
236175,41.321252,-72.897162,14802912,21:13,A,2.0,1415 STATE ST,,['Pedestrian'],N,0,25.0,False,False,1,0
244042,41.320567,-72.870367,14825376,22:01,A,3.0,FOXON BLVD,,['Pedestrian'],W,0,,False,False,1,0
244042,41.320567,-72.870367,14825376,22:01,A,3.0,FOXON BLVD,,['Pedestrian'],W,0,,False,False,1,0
246428,41.305544,-72.933748,14825376,17:13,A,4.0,N FRONTAGE RD,YORK ST,['Pedestrian'],W,0,25.0,False,True,1,0
247709,41.294498,-72.945692,14834016,17:59,A,3.0,ELLA T GRASSO BLVD,,['Pedestrian'],S,0,,False,False,1,0
249006,41.297773,-72.935962,14835744,19:28,A,2.0,COLUMBUS AVE,HALLOCK ST,['Pedestrian'],E,0,25.0,False,False,1,0
249803,41.313097,-72.932341,14834880,18:07,A,4.0,GOFFE ST,DIXWELL AV,['Pedestrian'],W,0,25.0,False,False,1,0
250806,41.351633,-72.931066,14814144,02:05,K,3.0,DIXWELL AVE,,['Pedestrian'],N,0,35.0,,,1,0
252502,41.304901,-72.934223,14846112,15:12,K,3.0,S FRONTAGE RD,YORK ST(ONE-WAY NB),['Pedestrian'],E,99,25.0,False,False,1,0
252990,41.295468,-72.886867,14843520,19:19,A,4.0,215 BURWELL ST,,['Pedestrian'],,0,25.0,False,False,1,0
252990,41.295468,-72.886867,14843520,19:19,A,4.0,215 BURWELL ST,,['Pedestrian'],S,0,25.0,False,False,1,0
253014,41.30105979,-72.96320477,14834880,06:35,A,3.0,FOREST RD,DAVID ST,['Pedestrian'],S,0,30.0,False,False,1,0
253535,41.304387,-72.928629,14850432,09:53,A,4.0,70 TEMPLE ST,GEORGE ST,['Pedestrian'],E,0,25.0,False,False,1,0
254278,41.294866,-72.946089,14851296,22:47,A,3.0,580 ELLA T. GRASSO BLVD,,['Pedestrian'],S,0,35.0,True,False,1,0
255738,41.307933,-72.915888,14851296,13:25,A,4.0,GRAND AVE,,['Pedestrian'],E,0,25.0,False,False,1,0
255739,41.31846,-72.963237,14851296,19:15,A,4.0,800 EDGEWOOD AVE,,['Pedestrian'],N,0,25.0,True,False,1,0
258891,41.297721,-72.937565,14863392,15:54,A,2.0,COLUMBUS AVE,WASHINGTON AVE #1(DE),['Pedestrian'],W,99,25.0,True,False,1,0
260114,41.3448,-72.9288,14697504,18:56,A,4.0,PUTNAM AVENUE,,['Pedestrian'],W,0,30.0,,False,1,0
266640,41.373988,-72.916167,14880672,18:23,A,3.0,DIXWELL AVE,,['Pedestrian'],N,0,35.0,False,False,1,0
